"","state","S1","S2","S3","S4","returns","State_Name"
"10981",1,0.942801585063053,0.000160099734869947,0.0244868327583466,0.0325514824437304,0.00618992364662674,"Level1"
"10982",1,0.942710819368335,0.000403970376361769,0.00136440526282136,0.0555208049924816,0.0153094263918838,"Level1"
"10983",1,0.935615783192754,0.000151169245429596,0.0321684680563388,0.0320645795054778,0.00418229388567681,"Level1"
"10984",1,0.955513393261963,0.000240089360488717,0.00598602259118844,0.0382604947863597,0.0126492307403474,"Level1"
"10985",1,0.956624275638803,0.000126287539049575,0.0170483059590589,0.0262011308630889,-0.00568267272897316,"Level1"
"10986",1,0.950834499447461,6.98079336207684e-05,0.0341779255003568,0.0149177671185616,0.00372325376534821,"Level1"
"10987",1,0.932038319907354,3.63451347358441e-05,0.0599301389498775,0.00799519600803307,0.000515970905115459,"Level1"
"10988",1,0.892074903872605,1.90215197153161e-05,0.102350163874094,0.00555591073358549,0.000412636694723467,"Level1"
"10989",1,0.900154039990978,2.90331713448448e-05,0.0926675175246216,0.00714940931305591,0.00750070813030312,"Level1"
"10990",1,0.845406719053274,1.780137600257e-05,0.149188568013078,0.0053869115576454,0.00286209942598159,"Level1"
"10991",1,0.806658826948257,3.07319099159293e-05,0.187875446806388,0.00543499433543958,-0.00306689058148901,"Level1"
"10992",1,0.863079872016551,6.59250726446775e-05,0.129208505651692,0.00764569725911229,0.00886813828171196,"Level1"
"10993",1,0.955804742437913,7.53995896346301e-05,0.0322408707485157,0.0118789872239365,0.0121042128018605,"Level1"
"10994",1,0.949307417363724,3.44527685791842e-05,0.0434912994099225,0.00716683045777393,0.00520005171765092,"Level1"
"10995",1,0.978951484156816,5.55166270378494e-05,0.00774003463591457,0.0132529645802313,0.0127844857849988,"Level1"
"10996",3,0.955414310949231,3.30513823838708e-05,0.0373739406920759,0.00717869697630912,0.00245881601747922,"Level2"
"10997",3,0.965108668653998,2.48879988090731e-05,0.0271156507989208,0.00775079254827215,-0.00610902472217933,"Level2"
"10998",3,0.964335165165677,2.29235263934187e-05,0.0287264643832159,0.00691544692471342,-0.0043581883993733,"Level2"
"10999",3,0.944105939941156,1.71334852952245e-05,0.0499464125308792,0.00593051404266916,0.00208239457674697,"Level2"
"11000",3,0.965817239456672,2.86298288532112e-05,0.0247784351695495,0.00937569554492503,0.00985715255311082,"Level2"
