"state","S1","S2","S3","returns","date"
"LowVol",1,0,0,0,1927-12-30
"LowVol",0.98733203484772,0.0125394624505434,0.000128502701736278,0.00564654238821038,1928-01-03
"LowVol",0.989101747444397,0.0107959916747444,0.000102260880858651,-0.00225484882049942,1928-01-04
"LowVol",0.962337696286045,0.0371565471715893,0.00050575654236615,-0.0096399958117086,1928-01-05
"LowVol",0.97280015936478,0.0270490253377643,0.000150815297456026,0.00624830224399764,1928-01-06
"LowVol",0.952723190862228,0.0468580618021755,0.000418747335596867,-0.00910131424634519,1928-01-09
"LowVol",0.94344100731288,0.0563042655270361,0.000254727160083844,-0.00745624310593307,1928-01-10
"LowVol",0.96901215538243,0.0308870193538105,0.000100825263759333,-0.00115213143066706,1928-01-11
"LowVol",0.975332089407791,0.0245093862576162,0.000158524334593173,0.00689256051211062,1928-01-12
"LowVol",0.982019091093051,0.0178387969088653,0.000142111998083817,0.00627682535205176,1928-01-13
"LowVol",0.685344207875279,0.30599716905144,0.0086586230732804,-0.0166335347249333,1928-01-16
"LowVol",0.813912288570731,0.184216005297047,0.00187170613222223,0.000578086168165903,1928-01-17
"LowVol",0.88413942704357,0.11542728914187,0.000433283814560435,-0.0023147580449816,1928-01-18
"LowVol",0.905903766022483,0.0937389584825406,0.000357275494976263,0.00692837664456336,1928-01-19
"LowVol",0.934475993673268,0.0652883751263084,0.000235631200423238,0.00573730792754423,1928-01-20
"LowVol",0.924405155936035,0.0752686510855181,0.00032619297844737,0.00911162366191176,1928-01-23
"LowVol",0.955679339293466,0.0441706773898527,0.000149983316681555,0.00396040144016574,1928-01-24
"LowVol",0.885140229784179,0.114157506162041,0.000702264053780391,-0.0107863098212215,1928-01-25
"LowVol",0.914619103108135,0.0850668869971854,0.000314009894679412,0.00625885418003458,1928-01-26
"LowVol",0.951504468329428,0.0483337314198777,0.000161800250694333,0.00339762501252494,1928-01-27
"LowVol",0.854875437359974,0.144274067990933,0.000850494649092968,-0.0113702756702945,1928-01-30
"LowVol",0.908209777046641,0.0914739874526361,0.000316235500723315,0.00456361316849563,1928-01-31
"LowVol",0.945069403100281,0.0547485466199857,0.000182050279733081,-0.00227914622079917,1928-02-01
"LowVol",0.962439506233064,0.0374256930827389,0.000134800684196958,0.00568818371007307,1928-02-02
"LowVol",0.811474958873506,0.186815988765914,0.00170905236057979,-0.0131317334677967,1928-02-03
"LowVol",0.890829560794818,0.108804594811977,0.000365844393205825,0.00286949973454176,1928-02-06
"LowVol",0.940043311088826,0.0597627083360855,0.000193980575088963,-0.000573230134743419,1928-02-07
"LowVol",0.967277818730792,0.0326142250017742,0.000107956267433409,0.00286281321022885,1928-02-08
"LowVol",0.981792457596076,0.0181100493829617,9.74930209621857e-05,0.00342460390130572,1928-02-09
"LowVol",0.990111717352765,0.00979764993022909,9.06327170058021e-05,-0.000569848975238152,1928-02-10
"LowVol",0.983433776892427,0.0163915971320799,0.000174625975493487,-0.00571756813629642,1928-02-14
"LowVol",0.989066027235124,0.0108312894387096,0.000102683326166512,-0.00229626959979834,1928-02-15
"LowVol",0.988500951378016,0.0113896104097199,0.000109438212263693,-0.00287769982761477,1928-02-16
"LowVol",0.534584902633893,0.44999821445543,0.0154168829106771,-0.0180289263062545,1928-02-17
"LowVol",0.58846346309539,0.405875950898226,0.00566058600638357,-0.00529568726310625,1928-02-20
"LowVol",0.538118628692542,0.458742816273283,0.0031385550341752,0.0093952535259465,1928-02-21
"LowVol",0.697732182257661,0.301291305969061,0.000976511773278668,0.00116810760945674,1928-02-23
"LowVol",0.812769841720186,0.186611840305306,0.000618317974507987,0.00291466259719853,1928-02-24
"LowVol",0.862553174250319,0.136968030445639,0.000478795304041754,-0.00408277020665526,1928-02-27
"LowVol",0.921892161263596,0.0778498752345133,0.000257963501890835,0.00291794771036225,1928-02-28
"LowVol",0.945418943580648,0.0543841819262578,0.000196874493094646,0.00581059159546538,1928-02-29
"LowVol",0.970947355191618,0.0289576737928697,9.49710155123003e-05,0.0023147580449816,1928-03-01
"LowVol",0.984884660969362,0.0150269888112955,8.8350219342445e-05,0,1928-03-02
"Trans",0.878989672344586,0.118383711151543,0.00262661650387093,0.0154864584987426,1928-03-05
"Trans",0.916532093748481,0.0827342417025203,0.000733664548999163,0.00567538413259916,1928-03-06
"Trans",0.932731163538142,0.0670250857033559,0.000243750758502544,-0.00510639407457436,1928-03-07
"Trans",0.962092731510755,0.0377807672130095,0.000126501276235583,0.00340710163227032,1928-03-08
"Trans",0.723575842111266,0.273186831321479,0.00323732656725473,0.0163062937277405,1928-03-09
"Trans",0.823559605791435,0.175657041215939,0.000783352992625701,0.00389647027912288,1928-03-12
"Trans",0.865559944931666,0.133965427931125,0.000474627137209159,-0.00445435034938013,1928-03-13
"Trans",0.927019639081031,0.0727450945862671,0.000235266332702073,0.000557880070257255,1928-03-14
"Trans",0.933241263201198,0.0664934823516249,0.000265254447177102,0.00777781698709568,1928-03-15
"Trans",0.899020987057424,0.100498780718389,0.000480232224187282,0.0104597705626852,1928-03-16
"Trans",0.931657249191401,0.0680996776348048,0.00024307317379365,0.0054615644917515,1928-03-19
"Trans",0.954375926073977,0.0454619914971131,0.000162082428910155,0.00543173524494955,1928-03-20
"Trans",0.933392674242904,0.0662532114396321,0.000354114317463832,0.010239971186301,1928-03-21
"Trans",0.959328051444138,0.0405359330979711,0.00013601545789067,-0.00268456537066886,1928-03-22
"Trans",0.947650442293715,0.0520496850969383,0.000299872609347096,0.009630946309096,1928-03-23
