,lv,lvt,tt,hvt,hv,final_mult,alpha,beta,avg,std,skew,kurt,sharpe
8,0.8,1.0,0.33,0.0,0.66,5.96356249999996,0.00023016468592633384,[0.09043612],0.0002581718736025743,0.0035052709855338195,0.103057373953713,4.931662707798155,-0.014697415421716164
22,1.0,0.8,0.33,1.0,0.66,5.784898700000023,0.00022598488968589395,[0.0924423],0.00025461337362418963,0.0037086021927880027,-0.017295181977542873,6.304916297324366,-0.014851127447848302
21,1.0,0.8,0.33,0.66,1.0,5.791606300000045,0.00022598971750945645,[0.09182283],0.0002544263585632881,0.003613188913118005,0.062798809333459,4.8408327258896895,-0.015295059352895822
7,0.8,0.8,0.33,1.0,1.0,5.705180700000008,0.00022433216078753372,[0.09100029],0.0002525140673083182,0.00367045067475905,-0.028123508958885955,6.088186235401931,-0.015577441355505614
20,1.0,0.8,0.33,0.66,0.66,5.719018400000048,0.00022408063251405286,[0.09230555],0.00025266676659350316,0.0036189231847582166,0.06122062222061054,4.87767445751997,-0.015757043722098255
6,0.8,0.8,0.33,1.0,0.66,5.630193300000008,0.00022229233339873006,[0.09163959],0.00025067222553890164,0.0036774777129974837,-0.025869768918157773,6.312222840921683,-0.016048519259589625
19,1.0,0.8,0.33,0.33,1.0,5.711874800000043,0.00022386376709833896,[0.09174543],0.00025227643552727636,0.0035594638950315867,0.09921565492518115,4.827915778074482,-0.01612991832717201
5,0.8,0.8,0.33,0.66,1.0,5.629654400000019,0.00022213537276258427,[0.09095806],0.000250304201913788,0.0035801283610560207,0.05291348099384086,4.816912365713921,-0.01658770008775571
18,1.0,0.8,0.33,0.33,0.66,5.639295500000041,0.00022195192479155756,[0.09213549],0.00025048539279339124,0.0035634131529447247,0.09664359950979684,4.8118913906586105,-0.016614661872799367
17,1.0,0.8,0.33,0.0,1.0,5.609535800000013,0.00022115913839681,[0.09203835],0.0002496625219543613,0.0035420533150358085,0.10632118924880576,4.949699350369577,-0.016947168816877453
4,0.8,0.8,0.33,0.66,0.66,5.558416400000023,0.00022019790487599254,[0.09149536],0.0002485331310573782,0.003587525361950272,0.05090652904674483,4.859015991315198,-0.017047173250373523
3,0.8,0.8,0.33,0.33,1.0,5.566173699999963,0.0002203518419355422,[0.09095553],0.0002485198871522824,0.003528619496530576,0.09065565666543678,4.792240017320145,-0.017335507654059952
16,1.0,0.8,0.33,0.0,0.66,5.549317300000009,0.00021958931189223018,[0.09221365],0.00024814698339695846,0.003544300201063478,0.10512768920828472,4.939356642608209,-0.017364024082166734
2,0.8,0.8,0.33,0.33,0.66,5.484678600000032,0.00021817069908542402,[0.09129732],0.00024644459254512805,0.0035305003862017687,0.08787146524358397,4.772653483106321,-0.017914090916037906
1,0.8,0.8,0.33,0.0,1.0,5.45916400000002,0.00021746985373623983,[0.09118613],0.0002457093137419149,0.0035086298442879023,0.09881943381676353,4.915133271283345,-0.018235318782601335
0,0.8,0.8,0.33,0.0,0.66,5.4006706000000095,0.00021590297334768546,[0.09136072],0.00024419650162062976,0.003510842298920378,0.0962722330884926,4.903146058169767,-0.01865472449222897
