Date,Close,Dividends,Regime,Bench_Returns,Bench_Cumprod,Asset_Count,Asset_Value,Balance,Account_Value,Performance_Returns,Performance_Cumprod
1992-01-31,408.78,0,Trans,,,222.0,90749.15999999999,9250.840000000011,100000.0,,
1992-02-03,409.53,0,Trans,1.0018347277264055,1.0018347277264055,222.0,90749.15999999999,9250.840000000011,100000.0,1.0,1.0
1992-02-04,413.85,0,Trans,1.0105486777525456,1.0124027594305007,222.0,90749.15999999999,9250.840000000011,100000.0,1.0,1.0
1992-02-05,413.84,0,Trans,0.999975836655793,1.0123782963941486,222.0,90749.15999999999,9250.840000000011,100000.0,1.0,1.0
1992-02-06,413.82,0,Trans,0.9999516721438237,1.0123293703214444,222.0,90749.15999999999,9250.840000000011,100000.0,1.0,1.0
1992-02-07,411.09,0,LowVol,0.9934029288096273,1.0056509613973288,244.0,100305.95999999999,206.8600000000115,100512.82,1.0051282000000001,1.0051282000000001
1992-02-10,413.77,0,Trans,1.0065192536914058,1.0122070551396842,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-11,413.76,0,Trans,0.9999758319839525,1.0121825921033323,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-12,417.13,0,Trans,1.0081448182521269,1.0204266353539806,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-13,413.69,0,Trans,0.9917531704744325,1.0120113508488677,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-14,412.48,0,Trans,0.997075104546883,1.0090513234502672,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-18,407.38,0,Trans,0.9876357641582622,0.9965751749107103,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-19,408.26,0,Trans,1.0021601453188669,0.9987279221096926,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-20,413.9,0,Trans,1.0138147259099592,1.0125250746122612,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-21,411.43,0,Trans,0.9940323749697996,1.0064827046332994,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-24,412.27,0,Trans,1.0020416595775707,1.0085375996868733,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-25,410.45,0,Trans,0.9955854173235986,1.0040853270707961,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-26,415.35,0,Trans,1.0119381167011816,1.0160722148833115,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-27,413.86,0,Trans,0.9964126640182978,1.0124272224668527,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-02-28,412.7,0,Trans,0.9971971197989657,1.0095895102500123,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-02,412.45,0,Trans,0.9993942330991035,1.0089779343412104,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-03,412.85,0,Trans,1.0009698145229726,1.0099564557952934,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-04,409.33,0,Trans,0.991473900932542,1.0013454669993638,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-05,406.51,0,Trans,0.9931106930838199,0.9944468907480795,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-06,404.44,0,Trans,0.9949078743450346,0.9893830422232006,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-09,405.21,0,Trans,1.0019038670754623,0.9912666960223101,171.0,70100.75,30412.07000000001,100512.82,1.0,1.0051282000000001
1992-03-10,406.89,0,LowVol,1.0041459983712149,0.9953764861294582,245.0,99688.05,302.21000000001004,99990.26000000001,0.9948010611979646,0.9999026000000002
1992-03-11,404.03,0,LowVol,0.992971073263044,0.9883800577327655,245.0,98987.34999999999,302.21000000001004,99289.56,0.9929923174517197,0.9928956000000001
1992-03-12,403.89,0,LowVol,0.9996534910773953,0.9880375752238365,245.0,98953.05,302.21000000001004,99255.26000000001,0.9996545457548609,0.9925526000000001
1992-03-13,405.84,0,LowVol,1.0048280472405853,0.9928078673124905,245.0,99430.79999999999,302.21000000001004,99733.01,1.0048133469198508,0.9973301
1992-03-16,406.39,0,LowVol,1.0013552138773902,0.9941533343118546,245.0,99565.55,302.21000000001004,99867.76000000001,1.0013511073214376,0.9986776
1992-03-17,409.58,0,LowVol,1.007849602598489,1.0019570429081655,245.0,100347.09999999999,302.21000000001004,100649.31,1.0078258489025886,1.0064931
1992-03-18,409.15,0,LowVol,0.9989501440500024,1.0009051323450262,245.0,100241.75,302.21000000001004,100543.96,0.9989532963514605,1.0054396
1992-03-19,409.8,0,LowVol,1.0015886594158623,1.002495229707911,245.0,100401.0,302.21000000001004,100703.21,1.0015838843029456,1.0070321
1992-03-20,411.3,0,LowVol,1.0036603221083455,1.0061646851607218,245.0,100768.5,302.21000000001004,101070.71,1.0036493374938098,1.0107071
1992-03-23,409.91,0,LowVol,0.9966204716751763,1.0027643231077839,245.0,100427.95000000001,302.21000000001004,100730.16000000002,0.9966305767516624,1.0073016000000004
1992-03-24,408.88,0,LowVol,0.9974872532995047,1.0002446303635204,245.0,100175.6,302.21000000001004,100477.81000000001,0.997494792026539,1.0047781000000005
1992-03-25,407.52,0,LowVol,0.9966738407356681,0.9969176574196386,245.0,99842.4,302.21000000001004,100144.61,0.9966838449205848,1.0014461000000003
1992-03-26,407.86,0,LowVol,1.0008343148802514,0.9977494006556091,245.0,99925.7,302.21000000001004,100227.91,1.0008317971381586,1.0022791000000004
1992-03-27,403.5,0,LowVol,0.9893100573726278,0.9870835168061056,245.0,98857.5,302.21000000001004,99159.71,0.9893422899868909,0.9915971000000005
1992-03-30,403.0,0,LowVol,0.9987608426270136,0.9858603649885019,245.0,98735.0,302.21000000001004,99037.21,0.998764619218834,0.9903721000000005
1992-03-31,403.69,0,LowVol,1.001712158808933,0.9875483144967949,245.0,98904.05,302.21000000001004,99206.26000000001,1.0017069341917044,0.9920626000000007
1992-04-01,404.23,0,LowVol,1.0013376600857093,0.9888693184598069,245.0,99036.35,302.21000000001004,99338.56000000001,1.0013335851991598,0.9933856000000006
1992-04-02,400.5,0,LowVol,0.9907725799668505,0.979744605900484,245.0,98122.5,302.21000000001004,98424.71,0.990800651831474,0.9842471000000006
1992-04-03,401.55,0,Trans,1.002621722846442,0.9823132247174516,172.0,68809.35,29615.36000000001,98424.71000000002,1.0000000000000002,0.9842471000000008
1992-04-06,405.59,0,Trans,1.0100610135724069,0.9921962914036887,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-07,398.06,0,Trans,0.9814344535121675,0.9737756250305786,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-08,394.5,0,Trans,0.9910566246294529,0.965066784089241,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-09,400.64,0,Trans,1.0155640050697086,0.9800870884094133,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-10,404.29,0,Trans,1.0091104233226837,0.9890160966779196,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-13,406.08,0,Trans,1.0044275149026687,0.9933949801849402,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-14,412.39,0,Trans,1.0155388100866825,1.0088311561230976,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-15,416.28,0,Trans,1.009432818448556,1.0183472772640536,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-16,416.04,0,Trans,0.9994234649754974,1.017760164391604,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-20,410.18,0,Trans,0.9859148158830882,1.0034248250892899,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-21,410.26,0,Trans,1.0001950363255157,1.0036205293801064,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-22,409.81,0,Trans,0.9989031345975723,1.0025196927442632,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-23,411.6,0,Trans,1.004367877797028,1.006898576251284,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-24,409.02,0,Trans,0.9937317784256559,1.0005871128724493,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-27,408.45,0,Trans,0.9986064251136864,0.9991927198003812,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-28,409.11,0,Trans,1.0016158648549394,1.000807280199618,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-29,412.02,0,Trans,1.0071130013932683,1.007926023778071,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-04-30,414.95,0,Trans,1.0071113052764429,1.015093693429228,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-05-01,412.53,0,Trans,0.9941679720448247,1.0091736386320267,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-05-04,416.91,0,Trans,1.0106174096429352,1.0198884485542343,172.0,68809.35,29615.36000000001,98424.71000000002,1.0,0.9842471000000008
1992-05-05,416.84,0,LowVol,0.9998320980547359,1.0197172072997698,243.0,101292.12,19.720000000012078,101311.84000000001,1.0293333858946598,1.0131184000000006
1992-05-06,416.79,0,LowVol,0.9998800498992421,1.0195948921180096,243.0,101279.97,19.720000000012078,101299.69000000002,0.9998800732471151,1.0129969000000008
1992-05-07,415.85,0,LowVol,0.9977446675783967,1.0172953667009148,243.0,101051.55,19.720000000012078,101071.27000000002,0.9977451066237222,1.0107127000000007
1992-05-08,416.05,0,LowVol,1.0004809426475894,1.0177846274279563,243.0,101100.15000000001,19.720000000012078,101119.87000000002,1.0004808488109431,1.011198700000001
1992-05-11,418.49,0,LowVol,1.0058646797259945,1.0237536082978618,243.0,101693.07,19.720000000012078,101712.79000000002,1.0058635360191819,1.0171279000000009
