,0,1,2,3,4,5,6
384,1.0,0.0,0.0,0.0,0.5,2.446601400000008,0.26163515190865655
0,0.5,0.0,0.0,0.0,0.5,2.4232380000000053,0.2592662055671906
192,0.8,0.0,0.0,0.0,0.5,2.4314301999999954,0.2575732548000765
385,1.0,0.0,0.0,0.0,0.8,2.375373400000002,0.22749453774657788
193,0.8,0.0,0.0,0.0,0.8,2.3713317999999943,0.22546250253807593
1,0.5,0.0,0.0,0.0,0.8,2.3555193999999924,0.22453057118481387
2,0.5,0.0,0.0,0.0,1.0,2.319370500000017,0.21344762069307827
386,1.0,0.0,0.0,0.0,1.0,2.334478799999998,0.21286456866711123
194,0.8,0.0,0.0,0.0,1.0,2.3318780000000046,0.2120310527741168
432,1.0,0.4,0.0,0.0,0.5,2.0070539000000127,0.15906953607466956
240,0.8,0.4,0.0,0.0,0.5,1.990621199999992,0.15404959944995691
48,0.5,0.4,0.0,0.0,0.5,1.9586321999999978,0.14539362450896662
387,1.0,0.0,0.0,0.4,0.5,2.2914495000000112,0.13290533882840536
195,0.8,0.0,0.0,0.4,0.5,2.285205799999994,0.13193921624775662
433,1.0,0.4,0.0,0.0,0.8,1.951728300000011,0.13077946302195226
3,0.5,0.0,0.0,0.4,0.5,2.2673065000000006,0.13018260236105297
241,0.8,0.4,0.0,0.0,0.8,1.938976199999989,0.12755903233744512
434,1.0,0.4,0.0,0.0,1.0,1.9323808000000005,0.12304625452470346
49,0.5,0.4,0.0,0.0,0.8,1.9063790000000003,0.1198388059015709
242,0.8,0.4,0.0,0.0,1.0,1.918785800000017,0.11951937948537165
388,1.0,0.0,0.0,0.4,0.8,2.2466860000000057,0.11517154944996164
196,0.8,0.0,0.0,0.4,0.8,2.244833699999994,0.11439027246333311
50,0.5,0.4,0.0,0.0,1.0,1.8928511000000088,0.11308361880480144
4,0.5,0.0,0.0,0.4,0.8,2.2301796000000005,0.11035513225876976
389,1.0,0.0,0.0,0.4,1.0,2.235006800000002,0.10871646254988415
197,0.8,0.0,0.0,0.4,1.0,2.2203277999999913,0.10693350336419773
5,0.5,0.0,0.0,0.4,1.0,2.2020941999999923,0.10272884563406612
